 ,Kinh te vi mo,Toan cao cap C1, Marketing can ban,Ky nang giao tiep,Giao duc quoc phong,Ky nang ban hang,Nhap mon nganh quan tri," Tin hoc MOS 1 (Windows, Word)",Sinh hoat dau khoa,Quan tri hoc," Tin hoc MOS 2 (Excel, Powerpoint)",Tieng Anh tong quat 1,Khoi nghiep,Toan kinh te,Tam li hoc khach hang,Tu duy phan bien,Kinh te vi mo,Phap luat dai cuong,Giao duc the chat,Dia li kinh te Viet Nam,Tieng Anh tong quat 2,Thong ke kinh doanh, Field trip 1,Kinh te quoc te,Nhung nguyen li co ban cua Chu nghia Mac - Lenin,Quan tri nguon nhan luc,Tieng Anh giao tiep quoc te 1,Thuong mai dien tu,Tu tuong Ho Chi Minh,Luat kinh doanh,Tieng Anh giao tiep quoc te 2, Module 1: Phuong phap nghien cuu trong kinh doanh," English for Business Correspondence, Presentation and Meetings",Giai tiep lien van hoa,Quan li su thay doi,Quan tri Marketing,Quan tri tai chinh,Duong loi cach mang cua Dang cong san Viet Nam,Quan tri san xuat va chat luong,Thuc hanh nghe nghiep (Professional Practice), English for International Trade and Industrial Management,Cham soc khach hang,Nguyen ly ke toan,Ky nang bieu dien thanh nhac,Giao tiep da phuong tien trong kinh doanh, English for Service Industry,Quan tri truyen thong tich hop,Quan tri chien luoc,Quan tri thuong hieu,Chien luoc Marketing,To chuc su kien,Nghe thuat lanh dao,Du an kinh doanh, English for the Import and Export Industry, Module 2:  Ban hang, Seminar Lap ke hoach va phat trien nghe nghiep,Khoa luan tot nghiep,Thuc tap tot nghiep (Intership),Vo thuat,Ky nang thuyet trinh,Xac xuat thong ke,Qui hoach tuyen tinh,Thong ke kinh doanh,Ky nang giao tiep(HP2),Kinh te luong ung dung trong kinh doanh,Tieng Anh giao tiep quoc te 2, Module 1: Phuong phap nghien cuu trong kinh doanh,Ly thuyet tai chinh - tien te 1,Tieng Anh giao tiep quoc te 3,Tieng Anh chuyen nganh,Tieng Anh giao tiep quoc te 4,Tieng Anh chuyen nganh 2,Hanh vi to chuc,Quan tri rui ro trong kinh doanh,Quan tri Logistics,Quan tri kinh doanh quoc te, Module 2: Kinh doanh xuat nhap khau,Tam ly hoc dai cuong,"Van tai, bao hiem van tai quoc te", Logistics,Trung binh tich luy,Xep loai
Diem tong ket,"8,40","6,70","8,50","7,50","9,70","7,00","7,30","8,00",,"8,50","6,30","6,60","9,20","7,30","8,00","8,60","8,10","7,00","7,30","5,40","7,40","9,10","8,40","7,60","6,20","6,20","7,90","8,20","6,20","7,20","7,20","8,30","8,10","6,60","8,60","7,70","8,40","7,40","9,00","9,30","8,40","7,50","9,20","8,50","8,60","7,80","7,80","7,90","8,60","9,20","6,70","8,90","7,40","9,30","3,60","7,80","9,00","9,60","8,90",,,,,,,,,,,,,,,,,,,,,,"7,90",Kha
Diem tong ket,"8,00","7,30","5,80","9,70","7,00","6,50","6,50","6,10",,"7,50","8,40","6,60","5,70","7,40","6,40","6,70","7,00","4,00","7,40","6,90","6,60","5,70","5,40","5,30","6,80","7,40","7,30","7,40","6,30","7,30","8,40","8,00","8,00","8,30","5,80","8,00","7,10","6,10","8,20","6,90","7,00","8,20","6,50","5,70","9,20","9,20","4,70","7,20","7,50","8,30","9,90","7,30","9,00","8,50","7,40","7,20","9,50","7,90","8,00",,,,,,,,,,,,,,,,,,,,,,"7,21",Kha
Diem tong ket,"7,30","6,60","8,00","6,50","9,70","7,00","7,60","7,60",,"6,70","9,00","6,40","9,20","8,80","6,70","8,60","8,10","8,60","8,00","8,20","6,50","6,20","8,60","7,70","6,70","6,50","6,30","6,20","9,60","7,90","7,70","8,50","8,10","8,00","7,50","8,70","8,90","7,50","7,60","8,00","7,40","9,10","8,30","8,40","7,00","7,70","7,10","6,10","8,20","8,90","8,40","9,10","8,80","8,00","6,40","8,00","8,40","8,00","7,90",,,,,,,,,,,,,,,,,,,,,,"7,76",Kha
Diem tong ket,"7,00","6,70","7,80","9,70","6,40","7,80","7,30","6,50",,"6,80","5,90","6,10","6,00","7,00","7,00","7,60","7,40","7,00","7,60","7,50","7,20","5,20","8,30","5,40","6,40","5,70","7,20","5,00","7,50","8,00","7,40","7,80","7,40","7,20","9,80","7,00","8,70","8,40","9,30","8,00","7,30","9,00","9,50","9,80","9,70","8,70","7,20","7,40","8,70","8,10","7,60","8,80","9,30","9,50","9,60","8,00","8,00","9,00","9,40",,,,,,,,,,,,,,,,,,,,,,"7,75",Kha
Diem tong ket,"6,80","6,30","6,40","9,30","7,00","6,00","6,60","6,50",,"6,10","5,00","4,40","6,60","6,60","6,10","6,40","7,70","6,00","6,30","6,90","8,00","7,90","6,20","8,20","5,40","5,90","8,40","5,20","6,00","7,70","4,40","7,30","6,90","5,60","6,00","8,00","8,00","5,90","9,00","8,70","9,20","8,80","7,80","6,20","5,10","5,20","5,60","9,40","4,90","5,40","7,10","7,50","5,60","8,00","7,30","7,80","8,20","7,70","8,00",,,,,,,,,,,,,,,,,,,,,,"6,90",Trung binh
Diem tong ket,"6,80","9,50","7,00","9,70","7,00","8,80","8,00","8,00",,"7,30","8,70","4,90","7,00","8,30","6,00","7,60","6,40","8,10","7,00","5,40","7,20","7,70","6,60","5,60","4,80","7,20","8,40","6,10","7,40","7,10","8,30","7,80","8,40","8,30","8,20","6,40","8,10","8,40","10,00","8,70","8,20","8,00","7,50","8,60","8,20","8,90","8,00","8,70","6,80","10,00","9,10","9,20","7,90","8,80","6,50","8,30","8,70","8,50","8,00",,,,,,,,,,,,,,,,,,,,,,"7,68",Kha
Diem tong ket,"5,90","7,80","6,90","9,70","7,00","7,40","6,80","5,50",,"6,90","5,30","7,00","5,20","7,20","6,80","7,60","7,00","7,60","8,70","6,30","6,10","4,00","8,80","7,50","5,90","6,80","7,90","7,40","7,80","8,30","7,80","4,40","6,10","6,90","6,70","8,70","8,30","6,50","7,40","7,60","6,10","8,80","7,50","7,00","9,40","5,20","7,90","6,50","7,40","7,30","9,40","8,00","8,40","7,00","7,00","8,20","6,80","6,80","7,50",,,,,,,,,,,,,,,,,,,,,,"7,11",Kha
Diem tong ket,"6,80","9,00","6,60","9,70","7,00","6,70","7,90","5,70",,"6,30","5,70","5,30","7,20","6,70","7,40","6,70","7,10","8,00","5,30","6,80","7,10","7,80","6,40","6,10","5,10","6,80","9,40","7,10","5,70","8,90","7,90","8,00","8,50","8,30","6,60","8,00","8,90","9,00","7,70","9,50","8,00","7,60","8,90","7,70","6,50","7,10","7,10","9,80","9,10","9,40","8,10","6,30","9,00","9,90","8,60","8,10","8,50","7,50","7,90",,,,,,,,,,,,,,,,,,,,,,"7,54",Kha
Diem tong ket,"7,00","7,00","5,60","6,70","5,50","9,30","6,00","5,10",,"4,30","5,20","5,30","6,60","7,00","6,50","5,20","4,60","8,70","4,80","7,10","6,50","5,00","5,20","7,20","4,70","7,00","6,90","8,00","6,00","5,30","8,00","6,70","6,80","4,80","6,00","7,90","7,20","7,30","4,80","4,80","8,00","7,60","5,40","7,20","8,10","7,80","7,90","9,10","8,00","5,20","8,60","7,50","5,30","7,50","6,10","7,50","7,50","8,80","7,70",,,,,,,,,,,,,,,,,,,,,,"6,59",Trung binh
Diem tong ket,"6,90","7,20","6,10","9,30","7,00","6,40","6,50","6,40",,"6,70","5,80","8,60","8,80","6,20","8,30","6,50","7,20","7,00","5,90","6,20","8,00","7,40","6,70","5,90","5,50","6,50","8,80","7,40","6,90","7,70","7,60","8,00","7,20","8,10","7,30","8,10","9,30","6,80","8,00","5,40","9,00","7,40","7,60","9,20","8,70","7,10","8,00","7,60","9,00","7,40","9,10","7,00","8,00","7,70","9,40","8,30","7,90","6,50","8,30",,,,,,,,,,,,,,,,,,,,,,"7,49",Kha
Diem tong ket,"6,90","6,30","9,70","7,00","7,90","6,80","8,30","6,20",,"6,60","8,80","7,60","6,10","8,70","6,60","7,50","8,00","6,20","7,00","6,20","8,00","7,40","5,30","5,50","5,80","5,00","6,00","8,80","8,10","6,80","9,00","8,60","9,10","8,80","6,30","7,90","6,50","7,00","9,00","6,70","7,70","8,80","8,10","8,80","8,30","6,60","8,40","9,00","8,20","9,80","9,20","8,50","6,70","9,20","8,00","8,50","8,90","6,00","8,00",,,,,,,,,,,,,,,,,,,,,,"7,53",Kha
Diem tong ket,"7,70","7,60","6,20","9,70","7,00","6,40","7,60","5,80",,"6,50","8,70","5,90","7,00","7,90","6,80","7,50","6,70","7,70","8,00","7,00","5,40","6,20","8,70","8,00","6,00","5,10","6,70","5,20","6,30","8,80","6,40","6,90","7,70","5,40","7,30","6,60","8,30","9,10","6,40","5,80","8,50","7,90","5,60","9,10","8,40","5,60","7,70","5,50","5,30","8,90","9,30","5,30","6,90","9,60","7,80","8,00","6,40","7,00","7,60",,,,,,,,,,,,,,,,,,,,,,"7,09",Kha
Diem tong ket,"6,80","7,10","6,60","8,90","6,00","7,90","6,50","5,00",,"8,00","8,80","5,60","6,20","7,70","6,70","7,80","8,00","7,80","6,90","6,30","8,20","7,10","8,40","8,00","4,80","4,80","6,80","9,40","8,30","6,80","6,50","8,00","7,30","7,50","8,20","8,60","6,70","7,70","8,00","7,60","8,20","8,10","7,70","7,00","6,00","5,70","6,10","8,90","8,70","8,40","7,80","7,00","8,00","8,50","8,50","8,10","6,60","7,80","8,20",,,,,,,,,,,,,,,,,,,,,,"7,32",Kha
Diem tong ket,"5,20","4,80","9,60","7,00","7,70","8,60","4,60","5,30",,"6,20","7,90","7,00","7,00","6,60","8,70","5,70","5,70","6,20","5,70","5,60","5,70","5,60","7,50","4,00","6,20","8,00","5,10","8,50","5,70","8,10","8,20","7,40","4,80","9,00","6,30","8,50","9,50","5,70","6,30","8,30","6,40","6,30","7,00","0,00","6,10","5,80","7,40","6,90","9,00","8,10","7,50","5,60","8,40","7,70","7,70","6,40","7,00","7,80","7,50",,,,,,,,,,,,,,,,,,,,,,"6,70",Trung binh
Diem tong ket,"7,50","6,60","10,00","7,00","6,90","9,00","7,20","6,10",,"6,40","7,50","5,50","6,80","6,20","5,80","8,20","5,10","6,70","6,00","4,40","4,70","8,60","6,00","7,20","5,50","5,40","9,20","5,80","6,40","7,80","7,00","8,10","8,30","6,30","6,90","7,50","8,00","8,00","6,00","7,50","9,10","8,50","6,30","6,70","6,40","7,00","9,80","9,10","9,40","6,70","7,60","7,10","8,00","8,40","8,80","8,70","9,50","9,20","8,00",,,,,,,,,,,,,,,,,,,,,,"7,30",Kha
Diem tong ket,"7,60","7,00","9,60","7,00","9,80","8,80","9,20","7,30",,"8,00","8,20","6,40","7,90","8,50","9,10","6,20","8,50","6,00","5,20","7,10","9,00","9,10","7,80","8,80","5,90","6,00","7,10","9,20","7,60","8,00","9,00","8,50","8,90","8,00","8,70","8,20","6,70","8,00","8,50","8,00","7,50","7,60","8,70","7,80","7,40","7,90","7,10","8,90","8,50","7,20","8,40","7,10","7,40","8,70","8,00","8,30","8,30","8,50","7,80",,,,,,,,,,,,,,,,,,,,,,"7,94",Kha
Diem tong ket,"5,70","5,80","9,60","7,00","8,20","6,70","6,50","7,30",,"6,20","6,70","6,60","7,40","5,80","7,70","6,30","7,20","8,00","5,30","7,80","7,80","7,00","5,40","5,60","6,40","8,80","6,30","7,40","8,20","7,80","7,70","8,30","7,80","6,70","6,30","7,50","9,00","6,40","6,00","8,30","4,90","8,80","8,40","6,70","8,60","6,60","5,80","8,30","10,00","8,90","5,10","8,30","7,50","8,50","8,00","8,40","7,00","7,80","9,50",,,,,,,,,,,,,,,,,,,,,,"7,23",Kha
Diem tong ket,"6,00","7,10","9,60","7,00","8,20","8,60","6,80","6,70",,"7,30","6,30","5,00","8,20","7,30","6,20","7,40","8,50","8,30","8,00","4,90","8,70","9,70","7,70","6,10","5,50","7,20","8,00","5,00","6,70","7,90","8,10","7,80","7,70","7,80","6,50","9,10","8,60","6,40","7,70","10,00","9,10","7,90","5,40","6,80","7,60","8,40","9,40","6,80","7,60","6,90","9,20","9,20","7,80","6,90","7,70","6,50","8,70","7,00","8,30",,,,,,,,,,,,,,,,,,,,,,"7,47",Kha
Diem tong ket,"6,40","8,60","6,90","8,90","7,00","5,40","7,90","7,30",,"8,00","6,90","4,80","7,50","7,00","7,10","8,20","7,00","7,00","5,10","7,40","8,40","6,60","6,10","6,80","5,30","6,80","8,40","7,30","7,10","7,50","8,50","7,60","6,60","8,10","7,80","6,70","9,00","9,40","7,40","8,70","9,10","8,30","7,30","7,80","6,80","7,00","9,20","9,20","6,70","7,70","7,80","7,20","9,30","9,30","8,90","7,60","8,50","9,90","7,60",,,,,,,,,,,,,,,,,,,,,,"7,53",Kha
Diem tong ket,"8,10","7,30","9,20","8,00","8,30","8,80","6,50","5,90",,"5,70","6,70","5,00","6,80","8,30","6,70","7,90","7,50","6,70","7,00","6,10","4,60","7,30","5,80","7,90","5,50","7,10","4,80","7,10","5,90","9,60","7,90","5,90","8,20","6,60","8,50","8,70","8,30","6,30","5,90","7,00","8,00","5,80","8,10","8,00","8,80","8,90","7,10","8,40","7,90","5,90","9,10","6,80","9,20","8,80","7,50","8,50","8,00","8,20","8,00",,,,,,,,,,,,,,,,,,,,,,"7,23",Kha
Diem tong ket,"6,90","6,30","9,20","7,00","6,00","8,40","7,30","7,70",,"6,70","6,50","7,70","6,90","9,20","6,10","8,80","7,20","8,00","6,00","6,10","7,50","8,20","8,90","5,90","6,20","6,50","7,10","7,60","9,00","8,10","7,70","8,00","8,60","8,50","9,00","8,20","7,80","7,50","9,00","8,30","9,30","8,80","8,70","7,30","8,70","7,90","5,80","8,40","8,60","8,90","8,90","9,30","7,50","8,50","9,30","8,00","8,20","8,00","9,00",,,,,,,,,,,,,,,,,,,,,,"7,80",Kha
Diem tong ket,"6,60","5,80","9,60","6,00","6,50","7,60","6,00","5,90",,"6,60","5,10","8,80","8,90","6,10","7,90","6,40","7,80","8,00","8,20","6,70","4,40","4,40","7,70","7,20","5,30","5,80","8,10","6,40","9,40","6,30","5,70","7,80","8,80","7,70","6,60","7,50","9,10","8,00","6,70","7,10","8,70","6,20","6,90","6,10","9,00","7,40","6,30","7,30","8,30","6,30","8,80","7,80","9,10","9,60","8,60","8,00","9,50","8,20","9,40",,,,,,,,,,,,,,,,,,,,,,"7,37",Kha
Diem tong ket,"7,00","7,10","8,60","7,00","6,30","8,50","8,70","6,50",,"6,40","5,30","6,20","6,80","8,30","5,40","7,70","7,00","6,40","7,10","5,40","8,40","6,00","7,30","5,60","8,20","7,20","5,50","6,20","8,10","7,10","7,90","9,00","6,00","7,50","5,90","8,00","5,50","6,30","8,70","9,00","6,60","7,10","6,90","9,60","9,40","8,00","9,40","6,90","8,50","8,30","7,10","8,00","8,30","8,30","7,90","8,00","8,70","8,00","8,00",,,,,,,,,,,,,,,,,,,,,,"7,37",Kha
Diem tong ket,"6,00","6,80","9,00","7,00","5,70","8,50","8,00","7,30",,"6,00","5,70","6,10","6,80","7,70","5,90","7,50","8,00","6,50","7,70","5,40","8,70","5,70","7,10","5,30","5,30","7,40","5,70","6,20","7,80","6,30","7,80","8,50","5,50","7,10","5,90","8,00","5,70","7,70","8,60","8,80","5,50","6,40","7,40","9,60","8,60","8,00","9,10","6,90","8,50","8,70","7,20","8,00","7,90","6,90","7,60","8,00","8,60","8,40","8,00",,,,,,,,,,,,,,,,,,,,,,"7,18",Kha
Diem tong ket,"6,80","6,30","9,60","7,00","9,40","7,60","8,50","6,80",,"6,00","8,00","7,10","6,20","7,80","6,80","7,00","7,10","6,80","5,90","6,20","7,50","6,60","8,50","5,20","6,10","8,60","5,60","6,00","8,00","7,40","7,00","6,30","8,60","8,20","6,40","6,70","7,50","7,50","8,30","8,30","6,50","5,40","8,70","9,20","6,40","8,50","9,10","6,60","9,00","8,90","8,30","7,80","7,70","7,80","8,30","7,80","9,40","6,50","7,00",,,,,,,,,,,,,,,,,,,,,,"7,31",Kha
Diem tong ket,"5,70","8,80","6,40","9,70","7,00","5,80","6,90","7,20",,"6,60","6,00","4,50","8,40","6,80","6,60","8,10","8,80","7,70","8,00","7,80","5,80","7,80","7,20","8,10","6,20","6,00","9,00","5,70","5,30","6,70","8,50","8,40","9,40","8,10","8,00","7,10","8,70","7,50","6,90","7,70","8,50","8,00","7,40","7,90","8,50","9,00","6,50","7,20","7,90","7,80","8,40","9,60","7,60","8,70","7,40","8,30","9,40","9,50","10,00",,,,,,,,,,,,,,,,,,,,,,"7,63",Kha
Diem tong ket,"8,70","8,90","8,20","9,60","8,00","8,60","9,00","9,70",,"8,30","8,00","6,90","7,20","9,50","9,00","8,40","6,90","7,80","7,70","8,00","7,40","8,40","7,80","8,50","7,30","8,90","8,90","6,00","7,30","7,50","8,50","8,30","8,80","8,50","8,40","8,90","6,80","9,10","8,80","9,00","8,20","9,60","6,80","9,50","7,50","7,20","8,40","7,70","10,00","9,00","8,70","8,60","9,50","9,60","8,80","9,20","9,00","8,20","6,60",,,,,,,,,,,,,,,,,,,,,,"8,38",Gioi
Diem tong ket,"8,00","7,80","4,90","5,50","7,30","8,00","4,50","8,80",,"5,40","6,50","5,70","8,90","6,70","7,60","8,30","8,10","6,40","6,00","8,10","7,70","8,20","6,10","5,80","6,00","8,50","8,10","7,90","5,80","5,00","6,10","8,40","8,20","5,00","8,10","6,30","4,90","9,60","8,80","9,20","8,60","5,10","8,40","7,00","8,50","6,90","9,10","9,10","8,00","7,60","8,60","6,00","8,00","8,90","8,50","7,40","8,20","7,30","8,50",,,,,,,,,,,,,,,,,,,,,,"7,29",Kha
Diem tong ket,"8,40","6,00","9,20","7,00","9,40","7,60","7,70","6,90",,"6,90","7,50","5,70","7,00","9,80","7,50","8,80","7,00","6,10","5,30","8,00","8,00","8,80","7,60","9,00","5,80","5,20","8,50","9,00","6,30","6,90","9,00","8,50","8,50","7,90","5,90","9,40","8,60","8,30","8,50","6,40","7,80","8,80","8,90","6,40","6,90","7,10","9,70","9,40","8,60","7,40","8,20","7,40","7,50","8,80","8,70","8,40","7,90","7,20","7,20",,,,,,,,,,,,,,,,,,,,,,"7,78",Kha
Diem tong ket,"7,50","5,90","9,30","8,00","8,40","6,90","8,50","6,60",,"7,70","4,40","5,50","4,80","5,80","8,40","6,40","7,90","8,00","6,60","5,00","7,20","6,30","8,00","6,10","5,80","6,30","7,60","6,70","8,00","6,40","6,60","7,20","7,60","8,30","9,30","5,00","5,70","8,00","6,70","8,60","5,80","6,10","8,30","8,70","8,00","5,70","5,00","8,30","8,80","9,20","5,10","8,40","7,00","8,50","6,90","8,00","7,30","8,50","7,00",,,,,,,,,,,,,,,,,,,,,,"6,97",Trung binh
Diem tong ket,"5,50","7,20","6,50","9,70","6,00","6,40","6,30","7,20",,"5,60","5,40","6,50","7,80","6,00","8,40","7,00","6,30","4,90","8,60","7,10","6,40","9,00","7,40","7,10","6,40","7,10","7,60","7,70","6,00","8,00","5,30","6,40","6,80","8,00","7,00","7,10","5,10","8,30","6,80","5,60","7,00","6,30","7,60","9,80","9,60","8,30","7,80","6,40","7,80","6,80","7,00","7,70","7,80","9,90","8,70","9,20","6,80","8,60","7,80",,,,,,,,,,,,,,,,,,,,,,"7,19",Kha
Diem tong ket,"6,30","9,30","5,40","9,30","7,00","9,20","9,00","7,20",,"6,20","6,20","5,60","6,30","9,40","6,30","7,80","6,90","8,40","8,00","6,30","8,00","8,70","7,40","5,60","5,60","7,90","6,40","8,80","7,80","6,30","8,00","7,70","8,70","9,00","7,60","5,80","7,60","9,10","7,60","9,00","5,90","8,90","7,80","7,60","9,20","7,20","7,10","7,40","6,80","8,20","7,90","9,10","9,40","8,70","8,50","9,70","8,80","7,50","8,30",,,,,,,,,,,,,,,,,,,,,,"7,70",Kha
